exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
schedule-test,1,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6169837,4698704
schedule-test,2,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6185390,3660153
schedule-test,3,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,7282373,3826143
schedule-test,4,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,7269295,3876136
schedule-test,5,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6826652,3562862
schedule-test,6,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6151119,3704135
schedule-test,7,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,7148612,4739053
schedule-test,8,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6578968,3628645
schedule-test,9,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,7516004,4886512
schedule-test,10,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6581358,4251135
schedule-test,1,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6985464,3921742
schedule-test,2,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,7126526,3638562
schedule-test,3,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6902871,3005426
schedule-test,4,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,7226640,4265890
schedule-test,5,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6369822,3456128
schedule-test,6,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6703049,3721495
schedule-test,7,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6971979,4041163
schedule-test,8,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6885197,4024268
schedule-test,9,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6767761,4794107
schedule-test,10,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6833188,3568427
schedule-test,1,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6626093,4647266
schedule-test,2,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6909712,4118487
schedule-test,3,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,7515262,3670856
schedule-test,4,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6682371,3019723
schedule-test,5,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6339202,3515730
schedule-test,6,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6127637,3205752
schedule-test,7,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,7311792,3596588
schedule-test,8,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6256126,3600658
schedule-test,9,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6466152,3461223
schedule-test,10,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,7386668,3579954
schedule-test,1,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,6857282,4605865
